行番号,部署,金額,割合,日付
1304,広報,709136,28.4%,2026-09-17
1305,営業一課,710370,35.5%,2026-10-18
1306,営業二課,711604,42.6%,2026-11-19
1307,開発部,712838,49.7%,2026-12-20
1308,管理部,714072,56.8%,2026-01-21
1309,広報,715306,63.9%,2026-02-22
1310,営業一課,716540,70.0%,2026-03-23
1311,営業二課,717774,77.1%,2026-04-24
1312,開発部,719008,84.2%,2026-05-25
1313,管理部,720242,91.3%,2026-06-26
1314,広報,721476,98.4%,2026-07-27
1315,営業一課,722710,5.5%,2026-08-28
1316,営業二課,723944,12.6%,2026-09-01
1317,開発部,725178,19.7%,2026-10-02
1318,管理部,726412,26.8%,2026-11-03
1319,広報,727646,33.9%,2026-12-04
1320,営業一課,728880,40.0%,2026-01-05
1321,営業二課,730114,47.1%,2026-02-06
1322,開発部,731348,54.2%,2026-03-07
1323,管理部,732582,61.3%,2026-04-08
1324,広報,733816,68.4%,2026-05-09
1325,営業一課,735050,75.5%,2026-06-10
1326,営業二課,736284,82.6%,2026-07-11
1327,開発部,737518,89.7%,2026-08-12
1328,管理部,738752,96.8%,2026-09-13
1329,広報,739986,3.9%,2026-10-14
1330,営業一課,741220,10.0%,2026-11-15
1331,営業二課,742454,17.1%,2026-12-16
1332,開発部,743688,24.2%,2026-01-17
1333,管理部,744922,31.3%,2026-02-18
1334,広報,746156,38.4%,2026-03-19
1335,営業一課,747390,45.5%,2026-04-20
1336,営業二課,748624,52.6%,2026-05-21
1337,開発部,749858,59.7%,2026-06-22
1338,管理部,751092,66.8%,2026-07-23
1339,広報,752326,73.9%,2026-08-24
1340,営業一課,753560,80.0%,2026-09-25
1341,営業二課,754794,87.1%,2026-10-26
1342,開発部,756028,94.2%,2026-11-27
1343,管理部,757262,1.3%,2026-12-28
1344,広報,758496,8.4%,2026-01-01
1345,営業一課,759730,15.5%,2026-02-02
1346,営業二課,760964,22.6%,2026-03-03
1347,開発部,762198,29.7%,2026-04-04
1348,管理部,763432,36.8%,2026-05-05
1349,広報,764666,43.9%,2026-06-06
1350,営業一課,765900,50.0%,2026-07-07
1351,営業二課,767134,57.1%,2026-08-08
1352,開発部,768368,64.2%,2026-09-09
1353,管理部,769602,71.3%,2026-10-10
1354,広報,770836,78.4%,2026-11-11
1355,営業一課,772070,85.5%,2026-12-12
1356,営業二課,773304,92.6%,2026-01-13
1357,開発部,774538,99.7%,2026-02-14
1358,管理部,775772,6.8%,2026-03-15
1359,広報,777006,13.9%,2026-04-16
1360,営業一課,778240,20.0%,2026-05-17
1361,営業二課,779474,27.1%,2026-06-18
1362,開発部,780708,34.2%,2026-07-19
1363,管理部,781942,41.3%,2026-08-20
1364,広報,783176,48.4%,2026-09-21
1365,営業一課,784410,55.5%,2026-10-22
1366,営業二課,785644,62.6%,2026-11-23
1367,開発部,786878,69.7%,2026-12-24
1368,管理部,788112,76.8%,2026-01-25
1369,広報,789346,83.9%,2026-02-26
1370,営業一課,790580,90.0%,2026-03-27
1371,営業二課,791814,97.1%,2026-04-28
1372,開発部,793048,4.2%,2026-05-01
1373,管理部,794282,11.3%,2026-06-02
1374,広報,795516,18.4%,2026-07-03
1375,営業一課,796750,25.5%,2026-08-04
1376,営業二課,797984,32.6%,2026-09-05
1377,開発部,799218,39.7%,2026-10-06
1378,管理部,800452,46.8%,2026-11-07
1379,広報,801686,53.9%,2026-12-08
1380,営業一課,802920,60.0%,2026-01-09
1381,営業二課,804154,67.1%,2026-02-10
1382,開発部,805388,74.2%,2026-03-11
1383,管理部,806622,81.3%,2026-04-12
1384,広報,807856,88.4%,2026-05-13
1385,営業一課,809090,95.5%,2026-06-14
1386,営業二課,810324,2.6%,2026-07-15
1387,開発部,811558,9.7%,2026-08-16
1388,管理部,812792,16.8%,2026-09-17
1389,広報,814026,23.9%,2026-10-18
1390,営業一課,815260,30.0%,2026-11-19
1391,営業二課,816494,37.1%,2026-12-20
1392,開発部,817728,44.2%,2026-01-21
1393,管理部,818962,51.3%,2026-02-22
1394,広報,820196,58.4%,2026-03-23
1395,営業一課,821430,65.5%,2026-04-24
1396,営業二課,822664,72.6%,2026-05-25
1397,開発部,823898,79.7%,2026-06-26
1398,管理部,825132,86.8%,2026-07-27
1399,広報,826366,93.9%,2026-08-28
1400,営業一課,827600,0.0%,2026-09-01
1401,営業二課,828834,7.1%,2026-10-02
1402,開発部,830068,14.2%,2026-11-03
1403,管理部,831302,21.3%,2026-12-04
1404,広報,832536,28.4%,2026-01-05
1405,営業一課,833770,35.5%,2026-02-06
1406,営業二課,835004,42.6%,2026-03-07
1407,開発部,836238,49.7%,2026-04-08
1408,管理部,837472,56.8%,2026-05-09
1409,広報,838706,63.9%,2026-06-10
1410,営業一課,839940,70.0%,2026-07-11
1411,営業二課,841174,77.1%,2026-08-12
1412,開発部,842408,84.2%,2026-09-13
1413,管理部,843642,91.3%,2026-10-14
1414,広報,844876,98.4%,2026-11-15
1415,営業一課,846110,5.5%,2026-12-16
1416,営業二課,847344,12.6%,2026-01-17
1417,開発部,848578,19.7%,2026-02-18
1418,管理部,849812,26.8%,2026-03-19
1419,広報,851046,33.9%,2026-04-20
1420,営業一課,852280,40.0%,2026-05-21
1421,営業二課,853514,47.1%,2026-06-22
1422,開発部,854748,54.2%,2026-07-23
1423,管理部,855982,61.3%,2026-08-24
1424,広報,857216,68.4%,2026-09-25
1425,営業一課,858450,75.5%,2026-10-26
1426,営業二課,859684,82.6%,2026-11-27
1427,開発部,860918,89.7%,2026-12-28
1428,管理部,862152,96.8%,2026-01-01
1429,広報,863386,3.9%,2026-02-02
1430,営業一課,864620,10.0%,2026-03-03
1431,営業二課,865854,17.1%,2026-04-04
1432,開発部,867088,24.2%,2026-05-05
1433,管理部,868322,31.3%,2026-06-06
1434,広報,869556,38.4%,2026-07-07
1435,営業一課,870790,45.5%,2026-08-08
1436,営業二課,872024,52.6%,2026-09-09
1437,開発部,873258,59.7%,2026-10-10
1438,管理部,874492,66.8%,2026-11-11
1439,広報,875726,73.9%,2026-12-12
1440,営業一課,876960,80.0%,2026-01-13
1441,営業二課,878194,87.1%,2026-02-14
1442,開発部,879428,94.2%,2026-03-15
1443,管理部,880662,1.3%,2026-04-16
1444,広報,881896,8.4%,2026-05-17
1445,営業一課,883130,15.5%,2026-06-18
1446,営業二課,884364,22.6%,2026-07-19
1447,開発部,885598,29.7%,2026-08-20
1448,管理部,886832,36.8%,2026-09-21
1449,広報,888066,43.9%,2026-10-22
1450,営業一課,889300,50.0%,2026-11-23
1451,営業二課,890534,57.1%,2026-12-24
1452,開発部,891768,64.2%,2026-01-25
1453,管理部,893002,71.3%,2026-02-26
1454,広報,894236,78.4%,2026-03-27
1455,営業一課,895470,85.5%,2026-04-28
1456,営業二課,896704,92.6%,2026-05-01
1457,開発部,897938,99.7%,2026-06-02
1458,管理部,899172,6.8%,2026-07-03
1459,広報,406,13.9%,2026-08-04
1460,営業一課,1640,20.0%,2026-09-05
1461,営業二課,2874,27.1%,2026-10-06
1462,開発部,4108,34.2%,2026-11-07
1463,管理部,5342,41.3%,2026-12-08
1464,広報,6576,48.4%,2026-01-09
1465,営業一課,7810,55.5%,2026-02-10
1466,営業二課,9044,62.6%,2026-03-11
1467,開発部,10278,69.7%,2026-04-12
1468,管理部,11512,76.8%,2026-05-13
1469,広報,12746,83.9%,2026-06-14
1470,営業一課,13980,90.0%,2026-07-15
1471,営業二課,15214,97.1%,2026-08-16
1472,開発部,16448,4.2%,2026-09-17
1473,管理部,17682,11.3%,2026-10-18
1474,広報,18916,18.4%,2026-11-19
1475,営業一課,20150,25.5%,2026-12-20
1476,営業二課,21384,32.6%,2026-01-21
1477,開発部,22618,39.7%,2026-02-22
1478,管理部,23852,46.8%,2026-03-23
1479,広報,25086,53.9%,2026-04-24
1480,営業一課,26320,60.0%,2026-05-25
1481,営業二課,27554,67.1%,2026-06-26
1482,開発部,28788,74.2%,2026-07-27
1483,管理部,30022,81.3%,2026-08-28
1484,広報,31256,88.4%,2026-09-01
1485,営業一課,32490,95.5%,2026-10-02
1486,営業二課,33724,2.6%,2026-11-03
1487,開発部,34958,9.7%,2026-12-04
1488,管理部,36192,16.8%,2026-01-05
1489,広報,37426,23.9%,2026-02-06
1490,営業一課,38660,30.0%,2026-03-07
1491,営業二課,39894,37.1%,2026-04-08
1492,開発部,41128,44.2%,2026-05-09
1493,管理部,42362,51.3%,2026-06-10
1494,広報,43596,58.4%,2026-07-11
1495,営業一課,44830,65.5%,2026-08-12
1496,営業二課,46064,72.6%,2026-09-13
1497,開発部,47298,79.7%,2026-10-14
1498,管理部,48532,86.8%,2026-11-15
1499,広報,49766,93.9%,2026-12-16
1500,営業一課,51000,0.0%,2026-01-17
1501,営業二課,52234,7.1%,2026-02-18
1502,開発部,53468,14.2%,2026-03-19
1503,管理部,54702,21.3%,2026-04-20
1504,広報,55936,28.4%,2026-05-21
1505,営業一課,57170,35.5%,2026-06-22
1506,営業二課,58404,42.6%,2026-07-23
1507,開発部,59638,49.7%,2026-08-24
1508,管理部,60872,56.8%,2026-09-25
1509,広報,62106,63.9%,2026-10-26
1510,営業一課,63340,70.0%,2026-11-27
1511,営業二課,64574,77.1%,2026-12-28
1512,開発部,65808,84.2%,2026-01-01
1513,管理部,67042,91.3%,2026-02-02
1514,広報,68276,98.4%,2026-03-03
1515,営業一課,69510,5.5%,2026-04-04
1516,営業二課,70744,12.6%,2026-05-05
1517,開発部,71978,19.7%,2026-06-06
1518,管理部,73212,26.8%,2026-07-07
1519,広報,74446,33.9%,2026-08-08
1520,営業一課,75680,40.0%,2026-09-09
1521,営業二課,76914,47.1%,2026-10-10
1522,開発部,78148,54.2%,2026-11-11
1523,管理部,79382,61.3%,2026-12-12
1524,広報,80616,68.4%,2026-01-13
1525,営業一課,81850,75.5%,2026-02-14
1526,営業二課,83084,82.6%,2026-03-15
1527,開発部,84318,89.7%,2026-04-16
1528,管理部,85552,96.8%,2026-05-17
1529,広報,86786,3.9%,2026-06-18
1530,営業一課,88020,10.0%,2026-07-19
1531,営業二課,89254,17.1%,2026-08-20
1532,開発部,90488,24.2%,2026-09-21
1533,管理部,91722,31.3%,2026-10-22
1534,広報,92956,38.4%,2026-11-23
1535,営業一課,94190,45.5%,2026-12-24
1536,営業二課,95424,52.6%,2026-01-25
1537,開発部,96658,59.7%,2026-02-26
1538,管理部,97892,66.8%,2026-03-27
1539,広報,99126,73.9%,2026-04-28
1540,営業一課,100360,80.0%,2026-05-01
1541,営業二課,101594,87.1%,2026-06-02
1542,開発部,102828,94.2%,2026-07-03
1543,管理部,104062,1.3%,2026-08-04
1544,広報,105296,8.4%,2026-09-05
1545,営業一課,106530,15.5%,2026-10-06
1546,営業二課,107764,22.6%,2026-11-07
1547,開発部,108998,29.7%,2026-12-08
1548,管理部,110232,36.8%,2026-01-09
1549,広報,111466,43.9%,2026-02-10
1550,営業一課,112700,50.0%,2026-03-11
1551,営業二課,113934,57.1%,2026-04-12
1552,開発部,115168,64.2%,2026-05-13
1553,管理部,116402,71.3%,2026-06-14
1554,広報,117636,78.4%,2026-07-15
1555,営業一課,118870,85.5%,2026-08-16
1556,営業二課,120104,92.6%,2026-09-17
1557,開発部,121338,99.7%,2026-10-18
1558,管理部,122572,6.8%,2026-11-19
1559,広報,123806,13.9%,2026-12-20
1560,営業一課,125040,20.0%,2026-01-21
1561,営業二課,126274,27.1%,2026-02-22
1562,開発部,127508,34.2%,2026-03-23
1563,管理部,128742,41.3%,2026-04-24
1564,広報,129976,48.4%,2026-05-25
1565,営業一課,131210,55.5%,2026-06-26
1566,営業二課,132444,62.6%,2026-07-27
1567,開発部,133678,69.7%,2026-08-28
1568,管理部,134912,76.8%,2026-09-01
1569,広報,136146,83.9%,2026-10-02
1570,営業一課,137380,90.0%,2026-11-03
1571,営業二課,138614,97.1%,2026-12-04
1572,開発部,139848,4.2%,2026-01-05
1573,管理部,141082,11.3%,2026-02-06
1574,広報,142316,18.4%,2026-03-07
1575,営業一課,143550,25.5%,2026-04-08
1576,営業二課,144784,32.6%,2026-05-09
1577,開発部,146018,39.7%,2026-06-10
1578,管理部,147252,46.8%,2026-07-11
1579,広報,148486,53.9%,2026-08-12
1580,営業一課,149720,60.0%,2026-09-13
1581,営業二課,150954,67.1%,2026-10-14
1582,開発部,152188,74.2%,2026-11-15
1583,管理部,153422,81.3%,2026-12-16
1584,広報,154656,88.4%,2026-01-17
1585,営業一課,155890,95.5%,2026-02-18
1586,営業二課,157124,2.6%,2026-03-19
1587,開発部,158358,9.7%,2026-04-20
1588,管理部,159592,16.8%,2026-05-21
1589,広報,160826,23.9%,2026-06-22
1590,営業一課,162060,30.0%,2026-07-23
1591,営業二課,163294,37.1%,2026-08-24
1592,開発部,164528,44.2%,2026-09-25
1593,管理部,165762,51.3%,2026-10-26
1594,広報,166996,58.4%,2026-11-27
1595,営業一課,168230,65.5%,2026-12-28
1596,営業二課,169464,72.6%,2026-01-01
1597,開発部,170698,79.7%,2026-02-02
1598,管理部,171932,86.8%,2026-03-03
1599,広報,173166,93.9%,2026-04-04
1600,営業一課,174400,0.0%,2026-05-05
1601,営業二課,175634,7.1%,2026-06-06
1602,開発部,176868,14.2%,2026-07-07
1603,管理部,178102,21.3%,2026-08-08
1604,広報,179336,28.4%,2026-09-09
1605,営業一課,180570,35.5%,2026-10-10
1606,営業二課,181804,42.6%,2026-11-11
1607,開発部,183038,49.7%,2026-12-12
1608,管理部,184272,56.8%,2026-01-13
1609,広報,185506,63.9%,2026-02-14
1610,営業一課,186740,70.0%,2026-03-15
1611,営業二課,187974,77.1%,2026-04-16
1612,開発部,189208,84.2%,2026-05-17
1613,管理部,190442,91.3%,2026-06-18
1614,広報,191676,98.4%,2026-07-19
1615,営業一課,192910,5.5%,2026-08-20
1616,営業二課,194144,12.6%,2026-09-21
1617,開発部,195378,19.7%,2026-10-22
1618,管理部,196612,26.8%,2026-11-23
1619,広報,197846,33.9%,2026-12-24
1620,営業一課,199080,40.0%,2026-01-25
1621,営業二課,200314,47.1%,2026-02-26
1622,開発部,201548,54.2%,2026-03-27
1623,管理部,202782,61.3%,2026-04-28
1624,広報,204016,68.4%,2026-05-01
1625,営業一課,205250,75.5%,2026-06-02
1626,営業二課,206484,82.6%,2026-07-03
1627,開発部,207718,89.7%,2026-08-04
1628,管理部,208952,96.8%,2026-09-05
1629,広報,210186,3.9%,2026-10-06
1630,営業一課,211420,10.0%,2026-11-07
1631,営業二課,212654,17.1%,2026-12-08
1632,開発部,213888,24.2%,2026-01-09
1633,管理部,215122,31.3%,2026-02-10
1634,広報,216356,38.4%,2026-03-11
1635,営業一課,217590,45.5%,2026-04-12
1636,営業二課,218824,52.6%,2026-05-13
1637,開発部,220058,59.7%,2026-06-14
1638,管理部,221292,66.8%,2026-07-15
1639,広報,222526,73.9%,2026-08-16
1640,営業一課,223760,80.0%,2026-09-17
1641,営業二課,224994,87.1%,2026-10-18
1642,開発部,226228,94.2%,2026-11-19
1643,管理部,227462,1.3%,2026-12-20
1644,広報,228696,8.4%,2026-01-21
1645,営業一課,229930,15.5%,2026-02-22
1646,営業二課,231164,22.6%,2026-03-23
1647,開発部,232398,29.7%,2026-04-24
1648,管理部,233632,36.8%,2026-05-25
1649,広報,234866,43.9%,2026-06-26
1650,営業一課,236100,50.0%,2026-07-27
1651,営業二課,237334,57.1%,2026-08-28
1652,開発部,238568,64.2%,2026-09-01
1653,管理部,239802,71.3%,2026-10-02
1654,広報,241036,78.4%,2026-11-03
1655,営業一課,242270,85.5%,2026-12-04
1656,営業二課,243504,92.6%,2026-01-05
1657,開発部,244738,99.7%,2026-02-06
1658,管理部,245972,6.8%,2026-03-07
1659,広報,247206,13.9%,2026-04-08
1660,営業一課,248440,20.0%,2026-05-09
1661,営業二課,249674,27.1%,2026-06-10
1662,開発部,250908,34.2%,2026-07-11
1663,管理部,252142,41.3%,2026-08-12
1664,広報,253376,48.4%,2026-09-13
1665,営業一課,254610,55.5%,2026-10-14
1666,営業二課,255844,62.6%,2026-11-15
1667,開発部,257078,69.7%,2026-12-16
1668,管理部,258312,76.8%,2026-01-17
1669,広報,259546,83.9%,2026-02-18
1670,営業一課,260780,90.0%,2026-03-19
1671,営業二課,262014,97.1%,2026-04-20
1672,開発部,263248,4.2%,2026-05-21
1673,管理部,264482,11.3%,2026-06-22
1674,広報,265716,18.4%,2026-07-23
1675,営業一課,266950,25.5%,2026-08-24
1676,営業二課,268184,32.6%,2026-09-25
1677,開発部,269418,39.7%,2026-10-26
1678,管理部,270652,46.8%,2026-11-27
1679,広報,271886,53.9%,2026-12-28
1680,営業一課,273120,60.0%,2026-01-01
1681,営業二課,274354,67.1%,2026-02-02
1682,開発部,275588,74.2%,2026-03-03
1683,管理部,276822,81.3%,2026-04-04
1684,広報,278056,88.4%,2026-05-05
1685,営業一課,279290,95.5%,2026-06-06
1686,営業二課,280524,2.6%,2026-07-07
1687,開発部,281758,9.7%,2026-08-08
1688,管理部,282992,16.8%,2026-09-09
1689,広報,284226,23.9%,2026-10-10
1690,営業一課,285460,30.0%,2026-11-11
1691,営業二課,286694,37.1%,2026-12-12
1692,開発部,287928,44.2%,2026-01-13
1693,管理部,289162,51.3%,2026-02-14
1694,広報,290396,58.4%,2026-03-15
1695,営業一課,291630,65.5%,2026-04-16
1696,営業二課,292864,72.6%,2026-05-17
1697,開発部,294098,79.7%,2026-06-18
1698,管理部,295332,86.8%,2026-07-19
1699,広報,296566,93.9%,2026-08-20
1700,営業一課,297800,0.0%,2026-09-21
1701,営業二課,299034,7.1%,2026-10-22
1702,開発部,300268,14.2%,2026-11-23
1703,管理部,301502,21.3%,2026-12-24
1704,広報,302736,28.4%,2026-01-25
1705,営業一課,303970,35.5%,2026-02-26
1706,営業二課,305204,42.6%,2026-03-27
1707,開発部,306438,49.7%,2026-04-28
1708,管理部,307672,56.8%,2026-05-01
1709,広報,308906,63.9%,2026-06-02
1710,営業一課,310140,70.0%,2026-07-03
1711,営業二課,311374,77.1%,2026-08-04
1712,開発部,312608,84.2%,2026-09-05
1713,管理部,313842,91.3%,2026-10-06
1714,広報,315076,98.4%,2026-11-07
1715,営業一課,316310,5.5%,2026-12-08
1716,営業二課,317544,12.6%,2026-01-09
1717,開発部,318778,19.7%,2026-02-10
1718,管理部,320012,26.8%,2026-03-11
1719,広報,321246,33.9%,2026-04-12
1720,営業一課,322480,40.0%,2026-05-13
1721,営業二課,323714,47.1%,2026-06-14
1722,開発部,324948,54.2%,2026-07-15
1723,管理部,326182,61.3%,2026-08-16
1724,広報,327416,68.4%,2026-09-17
1725,営業一課,328650,75.5%,2026-10-18
1726,営業二課,329884,82.6%,2026-11-19
1727,開発部,331118,89.7%,2026-12-20
1728,管理部,332352,96.8%,2026-01-21
1729,広報,333586,3.9%,2026-02-22
1730,営業一課,334820,10.0%,2026-03-23
1731,営業二課,336054,17.1%,2026-04-24
1732,開発部,337288,24.2%,2026-05-25
1733,管理部,338522,31.3%,2026-06-26
1734,広報,339756,38.4%,2026-07-27
1735,営業一課,340990,45.5%,2026-08-28
1736,営業二課,342224,52.6%,2026-09-01
1737,開発部,343458,59.7%,2026-10-02
1738,管理部,344692,66.8%,2026-11-03
1739,広報,345926,73.9%,2026-12-04
1740,営業一課,347160,80.0%,2026-01-05
1741,営業二課,348394,87.1%,2026-02-06
1742,開発部,349628,94.2%,2026-03-07
1743,管理部,350862,1.3%,2026-04-08
1744,広報,352096,8.4%,2026-05-09
1745,営業一課,353330,15.5%,2026-06-10
1746,営業二課,354564,22.6%,2026-07-11
1747,開発部,355798,29.7%,2026-08-12
1748,管理部,357032,36.8%,2026-09-13
1749,広報,358266,43.9%,2026-10-14
1750,営業一課,359500,50.0%,2026-11-15
1751,営業二課,360734,57.1%,2026-12-16
1752,開発部,361968,64.2%,2026-01-17
1753,管理部,363202,71.3%,2026-02-18
1754,広報,364436,78.4%,2026-03-19
1755,営業一課,365670,85.5%,2026-04-20
1756,営業二課,366904,92.6%,2026-05-21
1757,開発部,368138,99.7%,2026-06-22
1758,管理部,369372,6.8%,2026-07-23
1759,広報,370606,13.9%,2026-08-24
1760,営業一課,371840,20.0%,2026-09-25
1761,営業二課,373074,27.1%,2026-10-26
1762,開発部,374308,34.2%,2026-11-27
1763,管理部,375542,41.3%,2026-12-28
1764,広報,376776,48.4%,2026-01-01
1765,営業一課,378010,55.5%,2026-02-02
1766,営業二課,379244,62.6%,2026-03-03
1767,開発部,380478,69.7%,2026-04-04
1768,管理部,381712,76.8%,2026-05-05
1769,広報,382946,83.9%,2026-06-06
1770,営業一課,384180,90.0%,2026-07-07
1771,営業二課,385414,97.1%,2026-08-08
1772,開発部,386648,4.2%,2026-09-09
1773,管理部,387882,11.3%,2026-10-10
1774,広報,389116,18.4%,2026-11-11
1775,営業一課,390350,25.5%,2026-12-12
1776,営業二課,391584,32.6%,2026-01-13
1777,開発部,392818,39.7%,2026-02-14
1778,管理部,394052,46.8%,2026-03-15
1779,広報,395286,53.9%,2026-04-16
1780,営業一課,396520,60.0%,2026-05-17
1781,営業二課,397754,67.1%,2026-06-18
1782,開発部,398988,74.2%,2026-07-19
1783,管理部,400222,81.3%,2026-08-20
1784,広報,401456,88.4%,2026-09-21
1785,営業一課,402690,95.5%,2026-10-22
1786,営業二課,403924,2.6%,2026-11-23
1787,開発部,405158,9.7%,2026-12-24
1788,管理部,406392,16.8%,2026-01-25
1789,広報,407626,23.9%,2026-02-26
1790,営業一課,408860,30.0%,2026-03-27
1791,営業二課,410094,37.1%,2026-04-28
1792,開発部,411328,44.2%,2026-05-01
1793,管理部,412562,51.3%,2026-06-02
1794,広報,413796,58.4%,2026-07-03
1795,営業一課,415030,65.5%,2026-08-04
1796,営業二課,416264,72.6%,2026-09-05
1797,開発部,417498,79.7%,2026-10-06
1798,管理部,418732,86.8%,2026-11-07
1799,広報,419966,93.9%,2026-12-08
1800,営業一課,421200,0.0%,2026-01-09
1801,営業二課,422434,7.1%,2026-02-10
1802,開発部,423668,14.2%,2026-03-11
1803,管理部,424902,21.3%,2026-04-12
1804,広報,426136,28.4%,2026-05-13
1805,営業一課,427370,35.5%,2026-06-14
1806,営業二課,428604,42.6%,2026-07-15
1807,開発部,429838,49.7%,2026-08-16
1808,管理部,431072,56.8%,2026-09-17
1809,広報,432306,63.9%,2026-10-18
1810,営業一課,433540,70.0%,2026-11-19
1811,営業二課,434774,77.1%,2026-12-20
1812,開発部,436008,84.2%,2026-01-21
1813,管理部,437242,91.3%,2026-02-22
1814,広報,438476,98.4%,2026-03-23
1815,営業一課,439710,5.5%,2026-04-24
1816,営業二課,440944,12.6%,2026-05-25
1817,開発部,442178,19.7%,2026-06-26
1818,管理部,443412,26.8%,2026-07-27
1819,広報,444646,33.9%,2026-08-28
1820,営業一課,445880,40.0%,2026-09-01
1821,営業二課,447114,47.1%,2026-10-02
1822,開発部,448348,54.2%,2026-11-03
1823,管理部,449582,61.3%,2026-12-04
1824,広報,450816,68.4%,2026-01-05
1825,営業一課,452050,75.5%,2026-02-06
1826,営業二課,453284,82.6%,2026-03-07
1827,開発部,454518,89.7%,2026-04-08
1828,管理部,455752,96.8%,2026-05-09
1829,広報,456986,3.9%,2026-06-10
1830,営業一課,458220,10.0%,2026-07-11
1831,営業二課,459454,17.1%,2026-08-12
1832,開発部,460688,24.2%,2026-09-13
1833,管理部,461922,31.3%,2026-10-14
1834,広報,463156,38.4%,2026-11-15
1835,営業一課,464390,45.5%,2026-12-16
1836,営業二課,465624,52.6%,2026-01-17
1837,開発部,466858,59.7%,2026-02-18
1838,管理部,468092,66.8%,2026-03-19
1839,広報,469326,73.9%,2026-04-20
1840,営業一課,470560,80.0%,2026-05-21
1841,営業二課,471794,87.1%,2026-06-22
1842,開発部,473028,94.2%,2026-07-23
1843,管理部,474262,1.3%,2026-08-24
1844,広報,475496,8.4%,2026-09-25
1845,営業一課,476730,15.5%,2026-10-26
1846,営業二課,477964,22.6%,2026-11-27
1847,開発部,479198,29.7%,2026-12-28
1848,管理部,480432,36.8%,2026-01-01
1849,広報,481666,43.9%,2026-02-02
1850,営業一課,482900,50.0%,2026-03-03
1851,営業二課,484134,57.1%,2026-04-04
1852,開発部,485368,64.2%,2026-05-05
1853,管理部,486602,71.3%,2026-06-06
1854,広報,487836,78.4%,2026-07-07
1855,営業一課,489070,85.5%,2026-08-08
1856,営業二課,490304,92.6%,2026-09-09
1857,開発部,491538,99.7%,2026-10-10
1858,管理部,492772,6.8%,2026-11-11
1859,広報,494006,13.9%,2026-12-12
1860,営業一課,495240,20.0%,2026-01-13
1861,営業二課,496474,27.1%,2026-02-14
1862,開発部,497708,34.2%,2026-03-15
1863,管理部,498942,41.3%,2026-04-16
1864,広報,500176,48.4%,2026-05-17
1865,営業一課,501410,55.5%,2026-06-18
1866,営業二課,502644,62.6%,2026-07-19
1867,開発部,503878,69.7%,2026-08-20
1868,管理部,505112,76.8%,2026-09-21
1869,広報,506346,83.9%,2026-10-22
1870,営業一課,507580,90.0%,2026-11-23
1871,営業二課,508814,97.1%,2026-12-24
1872,開発部,510048,4.2%,2026-01-25
1873,管理部,511282,11.3%,2026-02-26
1874,広報,512516,18.4%,2026-03-27
1875,営業一課,513750,25.5%,2026-04-28
1876,営業二課,514984,32.6%,2026-05-01
1877,開発部,516218,39.7%,2026-06-02
1878,管理部,517452,46.8%,2026-07-03
1879,広報,518686,53.9%,2026-08-04
1880,営業一課,519920,60.0%,2026-09-05
1881,営業二課,521154,67.1%,2026-10-06
1882,開発部,522388,74.2%,2026-11-07
1883,管理部,523622,81.3%,2026-12-08
1884,広報,524856,88.4%,2026-01-09
1885,営業一課,526090,95.5%,2026-02-10
1886,営業二課,527324,2.6%,2026-03-11
1887,開発部,528558,9.7%,2026-04-12
1888,管理部,529792,16.8%,2026-05-13
1889,広報,531026,23.9%,2026-06-14
1890,営業一課,532260,30.0%,2026-07-15
1891,営業二課,533494,37.1%,2026-08-16
1892,開発部,534728,44.2%,2026-09-17
1893,管理部,535962,51.3%,2026-10-18
1894,広報,537196,58.4%,2026-11-19
1895,営業一課,538430,65.5%,2026-12-20
1896,営業二課,539664,72.6%,2026-01-21
1897,開発部,540898,79.7%,2026-02-22
1898,管理部,542132,86.8%,2026-03-23
1899,広報,543366,93.9%,2026-04-24
1900,営業一課,544600,0.0%,2026-05-25
1901,営業二課,545834,7.1%,2026-06-26
1902,開発部,547068,14.2%,2026-07-27
1903,管理部,548302,21.3%,2026-08-28
1904,広報,549536,28.4%,2026-09-01
1905,営業一課,550770,35.5%,2026-10-02
1906,営業二課,552004,42.6%,2026-11-03
1907,開発部,553238,49.7%,2026-12-04
1908,管理部,554472,56.8%,2026-01-05
1909,広報,555706,63.9%,2026-02-06
1910,営業一課,556940,70.0%,2026-03-07
1911,営業二課,558174,77.1%,2026-04-08
1912,開発部,559408,84.2%,2026-05-09
1913,管理部,560642,91.3%,2026-06-10
1914,広報,561876,98.4%,2026-07-11
1915,営業一課,563110,5.5%,2026-08-12
1916,営業二課,564344,12.6%,2026-09-13
1917,開発部,565578,19.7%,2026-10-14
1918,管理部,566812,26.8%,2026-11-15
1919,広報,568046,33.9%,2026-12-16
1920,営業一課,569280,40.0%,2026-01-17
1921,営業二課,570514,47.1%,2026-02-18
1922,開発部,571748,54.2%,2026-03-19
1923,管理部,572982,61.3%,2026-04-20
1924,広報,574216,68.4%,2026-05-21
1925,営業一課,575450,75.5%,2026-06-22
1926,営業二課,576684,82.6%,2026-07-23
1927,開発部,577918,89.7%,2026-08-24
1928,管理部,579152,96.8%,2026-09-25
1929,広報,580386,3.9%,2026-10-26
1930,営業一課,581620,10.0%,2026-11-27
1931,営業二課,582854,17.1%,2026-12-28
1932,開発部,584088,24.2%,2026-01-01
